Performance Statistics   2017-01-03 22:37:00 - 2017-01-03 22:38:00
QueryTransformer.replaceWithSelectEntityVariable(..)         0,3           0           1         0,4           4
SearchFolders                                          133,0         133         133         0,0           1
Security.isEntityAttrReadPermitted(..)                   0,0           0           0         0,0           3
Security.isEntityOpPermitted(..)                         0,0           0           0         0,0           1
ViewRepository.init.ViewRepositoryClientImpl            16,0          16          16         0,0           1

Performance Statistics   2017-01-04 20:58:00 - 2017-01-04 20:59:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
AppFolders                                              85,0          85          85         0,0           1
LoadClass                                                0,0           0           0         0,0           7
MenuItem.doors$Order.browse                           1246,0        1246        1246         0,0           1
Messages.searchClasspath                                 0,0           0           1         0,1         435
Messages.searchFiles                                     0,0           0           0         0,0         435
PersistenceSecurity.applyConstraints(..)                 1,2           1           2         0,4           5
QueryParser.getEntityAlias()                             0,3           0           1         0,4           4
QueryParser.getEntityName()                              0,3           0           2         0,5          27
QueryParser.getEntityNameIfSecondaryReturnedInsteadOfMain()         0,0           0           0         0,0          22
QueryParser.getEntityPathIfSecondaryReturnedInsteadOfMain()         0,0           0           0         0,0          22
QueryParser.getParamNames()                              0,0           0           1         0,2          27
QueryParser.hasIsNullCondition(..)                       0,3           0           1         0,4           4
QueryParser.isCollectionSecondaryEntitySelect()          0,0           0           0         0,0           4
QueryTransformer.addEntityInGroupBy(..)                  0,0           0           0         0,0           4
QueryTransformer.addFirstSelectionSource(..)             0,0           0           0         0,0           4
QueryTransformer.addWhereAsIs(..)                        0,0           0           0         0,0           4
QueryTransformer.getResult()                             0,0           0           0         0,0           4
QueryTransformer.replaceWithSelectEntityVariable(..)         0,0           0           0         0,0           4
SearchFolders                                           62,0          62          62         0,0           1
Security.isEntityAttrReadPermitted(..)                   0,0           0           0         0,0         633
Security.isEntityOpPermitted(..)                         0,0           0           0         0,0           5
ViewRepository.init.ViewRepositoryImpl                  10,0          10          10         0,0           1

Performance Statistics   2017-01-04 20:59:00 - 2017-01-04 21:00:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
LoadClass                                                0,0           0           0         0,0          11
Messages.searchClasspath                                 0,0           0           1         0,1          97
Messages.searchFiles                                     0,0           0           0         0,0          97
PersistenceSecurity.applyConstraints(..)                 0,9           0           1         0,3           7
QueryParser.getEntityAlias()                             0,0           0           0         0,0           4
QueryParser.getEntityName()                              0,0           0           0         0,0          22
QueryParser.getEntityNameIfSecondaryReturnedInsteadOfMain()         0,0           0           0         0,0          15
QueryParser.getEntityPathIfSecondaryReturnedInsteadOfMain()         0,0           0           0         0,0          15
QueryParser.getParamNames()                              0,0           0           0         0,0          22
QueryParser.hasIsNullCondition(..)                       0,1           0           1         0,3           7
Security.isEntityAttrReadPermitted(..)                   0,0           0           0         0,0         677
Security.isEntityOpPermitted(..)                         0,0           0           0         0,0           7

Performance Statistics   2017-01-04 21:00:00 - 2017-01-04 21:01:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 21:01:00 - 2017-01-04 21:02:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 21:02:00 - 2017-01-04 21:03:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
AppFolders                                              85,0          84          86         1,0           2
LoadClass                                                0,0           0           0         0,0          10
MenuItem.doors$Customer.browse                         414,0         414         414         0,0           1
MenuItem.doors$Door.browse                             343,0         343         343         0,0           1
Messages.searchClasspath                                 0,0           0           0         0,0          45
Messages.searchFiles                                     0,0           0           0         0,0          45
PersistenceSecurity.applyConstraints(..)                 1,2           0           3         0,9           6
QueryParser.getEntityAlias()                             0,3           0           1         0,4           4
QueryParser.getEntityName()                              0,1           0           2         0,3          34
QueryParser.getEntityNameIfSecondaryReturnedInsteadOfMain()         0,0           0           0         0,0          28
QueryParser.getEntityPathIfSecondaryReturnedInsteadOfMain()         0,0           0           0         0,0          28
QueryParser.getParamNames()                              0,0           0           0         0,0          34
QueryParser.hasIsNullCondition(..)                       0,5           0           1         0,5           4
QueryParser.isCollectionSecondaryEntitySelect()          0,0           0           0         0,0           2
QueryTransformer.addEntityInGroupBy(..)                  0,0           0           0         0,0           2
QueryTransformer.addFirstSelectionSource(..)             0,0           0           0         0,0           2
QueryTransformer.addWhereAsIs(..)                        0,0           0           0         0,0           2
QueryTransformer.getResult()                             0,0           0           0         0,0           2
QueryTransformer.replaceWithSelectEntityVariable(..)         0,0           0           0         0,0           2
SearchFolders                                           68,5          61          76         7,5           2
Security.isEntityAttrReadPermitted(..)                   0,0           0           0         0,0         480
Security.isEntityOpPermitted(..)                         0,0           0           0         0,0           6

Performance Statistics   2017-01-04 21:03:00 - 2017-01-04 21:04:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
LoadClass                                                0,0           0           0         0,0           4

Performance Statistics   2017-01-04 21:04:00 - 2017-01-04 21:05:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 21:05:00 - 2017-01-04 21:06:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 21:06:00 - 2017-01-04 21:07:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 21:07:00 - 2017-01-04 21:08:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 21:08:00 - 2017-01-04 21:09:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 21:09:00 - 2017-01-04 21:10:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 21:10:00 - 2017-01-04 21:11:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 21:11:00 - 2017-01-04 21:12:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 21:12:00 - 2017-01-04 21:13:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 21:13:00 - 2017-01-04 21:14:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 21:14:00 - 2017-01-04 21:15:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 21:15:00 - 2017-01-04 21:16:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 21:16:00 - 2017-01-04 21:17:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 21:17:00 - 2017-01-04 21:18:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 21:18:00 - 2017-01-04 21:19:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 21:19:00 - 2017-01-04 21:20:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 21:20:00 - 2017-01-04 21:21:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 21:21:00 - 2017-01-04 21:22:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 21:22:00 - 2017-01-04 21:23:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 21:23:00 - 2017-01-04 21:24:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 21:24:00 - 2017-01-04 21:25:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 21:25:00 - 2017-01-04 21:26:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 21:26:00 - 2017-01-04 21:27:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 21:27:00 - 2017-01-04 21:28:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 21:28:00 - 2017-01-04 21:29:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 21:29:00 - 2017-01-04 21:30:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 21:30:00 - 2017-01-04 21:31:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 21:31:00 - 2017-01-04 21:32:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 21:32:00 - 2017-01-04 21:33:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

